aisle_id,aisle,mood
1,prepared soups salads,unclassified
2,specialty cheeses,unclassified
3,energy granola bars,positive
4,instant foods,negative
5,marinades meat preparation,unclassified
6,other,unclassified
7,packaged meat,unclassified
8,bakery desserts,unclassified
9,pasta sauce,unclassified
10,kitchen supplies,unclassified
11,cold flu allergy,unclassified
12,fresh pasta,unclassified
13,prepared meals,unclassified
14,tofu meat alternatives,unclassified
15,packaged seafood,unclassified
16,fresh herbs,positive
17,baking ingredients,unclassified
18,bulk dried fruits vegetables,unclassified
19,oils vinegars,unclassified
20,oral hygiene,unclassified
21,packaged cheese,unclassified
22,hair care,unclassified
23,popcorn jerky,negative
24,fresh fruits,positive
25,soap,unclassified
26,coffee,unclassified
27,beers coolers,unclassified
28,red wines,unclassified
29,honeys syrups nectars,unclassified
30,latino foods,unclassified
31,refrigerated,unclassified
32,packaged produce,unclassified
33,kosher foods,unclassified
34,frozen meat seafood,unclassified
35,poultry counter,positive
36,butter,positive
37,ice cream ice,negative
38,frozen meals,unclassified
39,seafood counter,unclassified
40,dog food care,unclassified
41,cat food care,unclassified
42,frozen vegan vegetarian,unclassified
43,buns rolls,unclassified
44,eye ear care,unclassified
45,candy chocolate,negative
46,mint gum,unclassified
47,vitamins supplements,unclassified
48,breakfast bars pastries,unclassified
49,packaged poultry,unclassified
50,fruit vegetable snacks,unclassified
51,preserved dips spreads,unclassified
52,frozen breakfast,unclassified
53,cream,unclassified
54,paper goods,unclassified
55,shave needs,unclassified
56,diapers wipes,unclassified
57,granola,positive
58,frozen breads doughs,unclassified
59,canned meals beans,unclassified
60,trash bags liners,unclassified
61,cookies cakes,negative
62,white wines,unclassified
63,grains rice dried goods,unclassified
64,energy sports drinks,unclassified
65,protein meal replacements,unclassified
66,asian foods,unclassified
67,fresh dips tapenades,unclassified
68,bulk grains rice dried goods,unclassified
69,soup broth bouillon,unclassified
70,digestion,unclassified
71,refrigerated pudding desserts,unclassified
72,condiments,unclassified
73,facial care,unclassified
74,dish detergents,unclassified
75,laundry,unclassified
76,indian foods,unclassified
77,soft drinks,unclassified
78,crackers,unclassified
79,frozen pizza,unclassified
80,deodorants,unclassified
81,canned jarred vegetables,unclassified
82,baby accessories,unclassified
83,fresh vegetables,positive
84,milk,positive
85,food storage,unclassified
86,eggs,positive
87,more household,unclassified
88,spreads,unclassified
89,salad dressing toppings,unclassified
90,cocoa drink mixes,unclassified
91,soy lactosefree,positive
92,baby food formula,unclassified
93,breakfast bakery,negative
94,tea,unclassified
95,canned meat seafood,unclassified
96,lunch meat,unclassified
97,baking supplies decor,unclassified
98,juice nectars,unclassified
99,canned fruit applesauce,unclassified
100,missing,unclassified
101,air fresheners candles,unclassified
102,baby bath body care,unclassified
103,ice cream toppings,unclassified
104,spices seasonings,unclassified
105,doughs gelatins bake mixes,unclassified
106,hot dogs bacon sausage,unclassified
107,chips pretzels,negative
108,other creams cheeses,unclassified
109,skin care,unclassified
110,pickled goods olives,unclassified
111,plates bowls cups flatware,unclassified
112,bread,unclassified
113,frozen juice,unclassified
114,cleaning products,unclassified
115,water seltzer sparkling water,unclassified
116,frozen produce,unclassified
117,nuts seeds dried fruit,positive
118,first aid,unclassified
119,frozen dessert,negative
120,yogurt,positive
121,cereal,unclassified
122,meat counter,positive
123,packaged vegetables fruits,positive
124,spirits,unclassified
125,trail mix snack mix,unclassified
126,feminine care,unclassified
127,body lotions soap,unclassified
128,tortillas flat bread,unclassified
129,frozen appetizers sides,unclassified
130,hot cereal pancake mixes,unclassified
131,dry pasta,unclassified
132,beauty,unclassified
133,muscles joints pain relief,unclassified
134,specialty wines champagnes,unclassified
