product_id,expiration_date
1,2024-09-19
2,2024-09-24
3,2025-03-04
4,2024-09-05
5,2025-04-19
6,2025-03-14
7,2024-07-19
8,2024-07-18
9,2025-03-14
10,2024-08-01
11,2024-11-08
12,2024-07-09
13,2024-07-09
14,2024-07-21
15,2025-01-06
16,2025-02-04
17,2024-07-01
18,2025-05-10
19,2025-03-14
20,2025-06-10
21,2024-12-28
22,2024-10-13
23,2024-07-02
24,2025-03-22
25,2025-04-07
26,2024-09-05
27,2024-12-06
28,2025-04-23
29,2025-05-30
30,2025-05-28
31,2024-07-03
32,2024-07-06
33,2025-01-08
34,2025-02-09
35,2024-06-30
36,2025-03-13
37,2025-01-25
38,2024-09-20
39,2025-03-25
40,2024-07-01
41,2024-07-28
42,2024-12-17
43,2024-07-01
44,2025-03-16
45,2024-07-02
46,2024-08-22
47,2024-11-22
48,2024-08-04
49,2024-11-25
50,2024-07-10
51,2025-04-20
52,2024-12-03
53,2025-01-25
54,2024-12-05
55,2024-07-13
56,2025-02-04
57,2025-06-03
58,2024-07-03
59,2025-03-18
60,2024-11-06
61,2025-04-08
62,2025-02-16
63,2025-05-19
64,2025-01-25
65,2024-08-22
66,2024-06-30
67,2025-02-13
68,2025-04-25
69,2024-10-07
70,2024-09-06
71,2025-01-28
72,2025-06-08
73,2024-09-22
74,2024-08-22
75,2025-03-07
76,2025-03-08
77,2025-02-28
78,2025-04-04
79,2025-01-23
80,2024-08-06
81,2024-09-30
82,2024-12-05
83,2024-06-30
84,2024-06-28
85,2024-09-10
86,2024-07-17
87,2025-03-25
88,2024-07-26
89,2024-07-02
90,2024-06-30
91,2025-01-23
92,2024-10-10
93,2024-09-24
94,2025-03-25
95,2024-09-22
96,2024-11-22
97,2024-12-10
98,2024-07-01
99,2024-07-02
100,2025-01-06
101,2024-06-30
102,2025-06-24
103,2025-05-13
104,2024-07-02
105,2025-03-27
106,2024-07-11
107,2024-12-31
108,2024-06-29
109,2025-04-24
110,2025-01-24
111,2024-08-08
112,2025-02-27
113,2024-07-07
114,2025-04-29
115,2024-11-23
116,2024-07-03
117,2025-01-22
118,2024-10-05
119,2024-07-25
120,2024-07-03
121,2024-10-23
122,2025-02-02
123,2025-03-30
124,2025-02-02
125,2024-09-01
126,2025-04-10
127,2025-03-01
128,2025-02-16
129,2025-03-02
130,2025-06-20
131,2024-06-29
132,2024-12-19
133,2025-01-16
134,2025-06-10
135,2024-08-14
136,2025-01-06
137,2024-06-28
138,2024-07-06
139,2024-11-04
140,2024-09-21
141,2024-08-02
142,2024-07-02
143,2024-07-02
144,2025-03-27
145,2025-02-16
146,2025-02-18
147,2025-05-10
148,2024-06-28
149,2024-12-23
150,2024-09-05
151,2025-06-07
152,2025-05-15
153,2025-02-07
154,2024-10-12
155,2024-09-30
156,2025-02-03
157,2024-07-02
158,2024-10-30
159,2025-03-24
160,2024-08-01
161,2025-05-25
162,2025-02-03
163,2024-12-02
164,2025-01-04
165,2024-08-23
166,2024-09-26
167,2024-08-12
168,2024-10-02
169,2025-01-28
170,2024-12-05
171,2025-01-12
172,2024-11-23
173,2024-11-20
174,2025-05-14
175,2024-07-03
176,2024-08-24
177,2025-02-27
178,2024-10-19
179,2025-01-18
180,2025-01-03
181,2025-03-13
182,2024-09-08
183,2024-10-27
